TOI|TIC|GAIA|exofopcomment|Theia|Name|ID|Age(Myr)|N(stars)|lb_comment
1372.01|164150539|1894826016359425792|Minor depth-aperture correlation|312|Theia|312|100|103|KC19 HR diagram high scatter -- group probably doesnt exist
1358.01|275501623|2192733400508791552|Rs 2.45 from TIC8; Rp ~5; 4.5 sigma odd-even|96|RSG_5|(96)|35|1272|Membership from nbhd plot seems questionable. Weird 3-part string. Off in HR diagram too (too bright). PMs and plx seem fine-enough. Just might be a random A-star, and not a CM.
1228.01|300038935|5268547016621360768||797|Theia|797|419|41|Not enough members to say if group is real.
1227.01|360156606|5842480953772012928|Likely a small star indicates a large candidate|64|Theia|64|26|96|Good Kounkel group (near Eps Cha). Mann observed odd SOAR transit.
1191.01|237185205|2094015466995434624|Likely 3 x period|73|Stephenson_1|(73)|26|3071|KC19 groups spans 100deg on sky. Most actually seems coeval -- but this star is not likely a member based on HR diagram.
1188.01|15247229|2067161441672227968|Could be on neighbor|165|Roslund_5|(165)|71|1830|Group definitely real and KC19 membership seems good.
1151.01|69679391|2033123654092592384|KELT 20b|427|Theia|427|188|107|KC19 Group maybe real. UMS looks good but M dwarfs highly scattered and low SNR parallaxes.
1149.01|117789567|1835201042675810688||197|Gulliver_60|(197)|74|397|Nbhd analysis shows star is on outskirts of cluster. It’s not a CG18 member. KC19 Membership claim seems likely to be spurious (HR diagram is too noisy).
1097.01|360630575|5838450865699668736|bright potential L1 candidate|64|Theia|64|26|96|Theia assoc definitely real, and probably <100 Myr. Mann suggested secondary eclipse. Small planet candidate.
1073.01|158297421|6658373007402886400||1098|Theia|1098|947|185|HATS-47. Theia 1098 (KC19); cluster existence dubious.
1048.01|384549882|5310970160975211008|probably EB|99|ESO_165-09|(99)|32|701|Another case of KC19 populations having weird proper motion projections. HR diagram is decentish. Need Prot-Teff to check if group/members are real.
1034.01|400595342|5325454783543157760|need SG1 to check 400595381; likely BEB|237|Theia|237|79|133|Group not convincing
1025.01|297967252|5312912791851427840|probably an EB|92|IC_2602|(92)|35|1342|"Clearly not CG18 member. KC19's IC2602 structure seems wrong because of one """"merged"""" group at RA/dec 130-55. But the HR diagram is pretty clean. So maybe the two populations are actually related. Pop Needs Prot sequence. Star is just at cluster turnoff."
1014.01|96246348|None|Might be diluted; SG1 to check|95|Platais_5|(95)|33|1123|Star is A1-IV subgiant. No shot at mass. Transit depth 3 mmag. From KC19 members, PM and parallax plausible for it being a member of the stream. Need gamma velocity to check.
1000.01|50365310|3033676761434888320||320|NGC_2422|(320)|105|932|Star is far from cluster core but could be part of fuzz-like population. Check Prot-Teff of the fuzz to see if the Kounkel members are real.
992.01|108835813|5613309916998205696|3 stars in central pixel|1147|Theia|1147|894|112|HR diagram spread out. Group probably not real.
861.01|372913430|5290721997195236480|crowded field|613|NGC_2516|(613)|251|3003|"""Crowded field"". TIC 372913430. 0.5% dip, P=13.5 days warm jupiter, Teff=9100K. RA/dec in center of cluster, parallax good as well. PMs are 2mas/yr from PM of cluster center.  “QLP reanalysis suggests an NEB (dpeth-aperture correlation)”. SG2 retires as NEB."
837.01|460205581|5251470948229949568||92|IC_2602|(92)|35|1342|My validation paper on this is being submitted ~next week
755.01|73228647|6133384959942131968|low SNR|908|Theia|908|611|540|KC19 group old-- but perhaps real. Dubious. If it were star would be likely member. Good to check for Prot-Teff sequence.
681.01|410450228|5290968085934209152|V-shaped; possible odd/even|613|NGC_2516|(613)|251|3003|Brown dwarf, writeup is being led by Nolan Grieves (Geneva). I contributed the NGC2516 membership analysis to that study.
630.01|123898871|2942380703200115200|Fifth transit event is on the edge with bad detrending; has 3|95|Platais_5|(95)|33|1123|KC19's Platais 5 looks ridiculous in RAdec space. HR diagram weirdly narrow though. This A star has an RV that is way off though. It is also slightly elevated relative to the main sequence. Hints at binarity.
626.01|65412605|5617241426979996800||449|Theia|449|162|1457|KC19 group suspicious based on HRD and overall kinematics.
612.01|284738182|5586098717888374016|large planet; possibly grazing; need SG1 to check 284738170|118|NGC_2451A|(118)|50|1858|Not a CG18 member. KC19 group membership is pretty wild across the sky. Like really wild. HR diagram not so bad. The Gaia RV of this star is also correctly clustered. If the KC19 Prot-Teff distribution turns out to show these stars are coeval I will be amazed.
610.01|80275202|5520741826895416704|need to check 80275180|22|Vela_OB2|(22)|12|2563|Vela OB2 is all over the sky. Star is at edge of kinematic distribution -- but on the isochrone of the HRD.  A star.
588.01|130415266|5557593814516968960|Period is double or four times larger; T0=1481|301|AB_Dor|(301)|106|1314|Gaia kinematics not obvious. P=40d, T=7.6, Teff 9600K. Hard to confirm.
580.01|81419525|5519619186857962112|3 GAIA stars within 5|22|Vela_OB2|(22)|12|2563|Membership is good. SG1 says PNEB. 
520.01|148479278|5576476552334683520|possible NEB|95|Platais_5|(95)|33|1123|Gaia kinematics look good. KC19 group HRD looks good. 2Re, 0.52 day USP. Teff 7500K, T=9.4. Hard to confirm. Maybe worth validating.
517.01|308307606|5290752787819629056|9.9 day eccentric system with separations between events of ~4.72; 5.16; 4.72; 5.16 days|613|NGC_2516|(613)|251|3003|KC19 Membership seems good
496.01|88977253|3064530810048196352|V-shaped; Large planet; but could be close to 2 R_Jup.|870|NGC_2548|(870)|400|654|WASP FU showed low mass EB. KC19 membership seems real.
